Category,Item,Serving Size,Calories,Calories from Fat,Total Fat,Total Fat (% Daily Value),Saturated Fat,Saturated Fat (% Daily Value),Trans Fat,Cholesterol,Cholesterol (% Daily Value),Sodium,Sodium (% Daily Value),Carbohydrates,Carbohydrates (% Daily Value),Dietary Fiber,Dietary Fiber (% Daily Value),Sugars,Protein,Vitamin A (% Daily Value),Vitamin C (% Daily Value),Calcium (% Daily Value),Iron (% Daily Value),Health_Status
Beef & Pork,Cheeseburger,4 oz (113 g),290.0,100.0,11.0,18.0,5.0,27.0,0.5,45.0,15.0,680.0,28.0,33.0,11.0,2.0,7.0,7.0,15.0,6.0,2.0,20.0,15.0,Healthy
Beef & Pork,Double Cheeseburger,5.7 oz (161 g),430.0,190.0,21.0,32.0,10.0,52.0,1.0,90.0,30.0,1040.0,43.0,35.0,12.0,2.0,8.0,7.0,24.0,10.0,2.0,30.0,20.0,Healthy
Beef & Pork,Bacon Clubhouse Burger,9.5 oz (270 g),720.0,360.0,40.0,62.0,15.0,75.0,1.5,115.0,38.0,1470.0,61.0,51.0,17.0,4.0,14.0,14.0,39.0,8.0,25.0,30.0,25.0,Unhealthy
Beef & Pork,McDouble,5.2 oz (147 g),380.0,150.0,17.0,26.0,8.0,40.0,1.0,75.0,25.0,840.0,35.0,34.0,11.0,2.0,7.0,7.0,22.0,6.0,2.0,20.0,20.0,Healthy
Beef & Pork,Bacon McDouble,5.7 oz (161 g),440.0,200.0,22.0,34.0,10.0,49.0,1.0,90.0,30.0,1110.0,46.0,35.0,12.0,2.0,7.0,7.0,27.0,6.0,10.0,20.0,20.0,Healthy
Beef & Pork,Daily Double,6.7 oz (190 g),430.0,200.0,22.0,35.0,9.0,44.0,1.0,80.0,27.0,760.0,32.0,34.0,11.0,2.0,8.0,7.0,22.0,8.0,8.0,20.0,20.0,Healthy
Beef & Pork,Jalapeño Double,5.6 oz (159 g),430.0,210.0,23.0,36.0,9.0,44.0,1.0,80.0,27.0,1030.0,43.0,35.0,12.0,2.0,7.0,6.0,22.0,6.0,8.0,20.0,20.0,Healthy
Beef & Pork,McRib,7.3 oz (208 g),500.0,240.0,26.0,40.0,10.0,48.0,0.9464285714285714,70.0,23.0,980.0,41.0,44.0,15.0,3.0,10.0,11.0,22.0,2.0,2.0,15.0,20.0,Unhealthy
Chicken & Fish,Premium Crispy Chicken Classic Sandwich,7.5 oz (213 g),510.0,200.0,22.0,33.0,3.5,18.0,0.9464285714285714,45.0,16.0,990.0,41.0,55.0,18.0,3.0,13.0,10.0,24.0,4.0,6.0,15.0,20.0,Unhealthy
Chicken & Fish,Premium Grilled Chicken Classic Sandwich,7 oz (200 g),350.0,80.0,9.0,13.0,2.0,9.0,0.9464285714285714,65.0,22.0,820.0,34.0,42.0,14.0,3.0,13.0,8.0,28.0,4.0,8.0,15.0,20.0,Healthy
Chicken & Fish,Premium Crispy Chicken Club Sandwich,8.8 oz (249 g),670.0,300.0,33.0,51.0,9.0,44.0,0.9464285714285714,85.0,29.0,1410.0,59.0,58.0,19.0,3.0,14.0,11.0,36.0,8.0,20.0,30.0,20.0,Unhealthy
Chicken & Fish,Premium Grilled Chicken Club Sandwich,8.3 oz (235 g),510.0,180.0,20.0,31.0,7.0,36.0,0.9464285714285714,105.0,35.0,1250.0,52.0,44.0,15.0,3.0,13.0,9.0,40.0,8.0,20.0,30.0,20.0,Unhealthy
Chicken & Fish,Premium Crispy Chicken Ranch BLT Sandwich,8.1 oz (230 g),610.0,250.0,28.0,43.0,6.0,31.0,0.9464285714285714,70.0,24.0,1400.0,58.0,57.0,19.0,3.0,13.0,11.0,32.0,4.0,20.0,15.0,20.0,Unhealthy
Chicken & Fish,Premium Grilled Chicken Ranch BLT Sandwich,7.6 oz (217 g),450.0,130.0,15.0,23.0,4.5,22.0,0.9464285714285714,90.0,30.0,1230.0,51.0,43.0,14.0,3.0,13.0,9.0,36.0,4.0,20.0,15.0,20.0,Healthy
Chicken & Fish,Bacon Clubhouse Crispy Chicken Sandwich,10 oz (284 g),750.0,340.0,38.0,59.0,10.0,51.0,0.5,90.0,31.0,1720.0,72.0,65.0,22.0,4.0,15.0,16.0,36.0,8.0,25.0,30.0,15.0,Unhealthy
Chicken & Fish,Bacon Clubhouse Grilled Chicken Sandwich,9.5 oz (270 g),590.0,230.0,25.0,39.0,8.0,42.0,0.9464285714285714,110.0,37.0,1560.0,65.0,51.0,17.0,4.0,15.0,14.0,40.0,8.0,30.0,30.0,15.0,Unhealthy
Chicken & Fish,Southern Style Crispy Chicken Sandwich,5.6 oz (160 g),430.0,170.0,19.0,29.0,3.0,15.0,0.9464285714285714,45.0,14.0,910.0,38.0,43.0,14.0,2.0,7.0,7.0,21.0,4.0,2.0,15.0,15.0,Healthy
Chicken & Fish,McChicken,5.1 oz (143 g),360.0,140.0,16.0,25.0,3.0,15.0,0.9464285714285714,35.0,11.0,800.0,33.0,40.0,13.0,2.0,7.0,5.0,14.0,17.63131313131313,2.0,10.0,15.0,Healthy
